ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Slide5-pccrM8-1__phase_analysis,signal:0113-0388,96.0,148.026539604,131.136,1828.0,1667.0,2319.0,451.802,388.105,0.584,14210.539802,128.578539604,14210.539802,2.888,0.346,0.79
Slide5-pccrM8-1__phase_analysis,signal:0114-0387,138.0,221.940539604,138.771,1976.0,1758.0,2472.0,639.382,387.05,0.333,30627.8384653,215.578539604,30627.8384653,5.5,0.182,0.69
Slide5-pccrM8-1__phase_analysis,signal:0115-0397,243.0,190.640539604,129.767,2000.0,1663.0,2449.0,941.079,397.71,0.24,46325.5851238,194.578539604,46325.5851238,1.796,0.557,0.509
Slide5-pccrM8-1__phase_analysis,signal:0119-0410,106.0,159.012539604,103.55,2023.0,1775.0,2238.0,462.367,408.761,0.498,16855.325198,164.578539604,16855.325198,3.231,0.309,0.746
Slide5-pccrM8-1__phase_analysis,signal:0120-0414,267.0,192.720539604,124.463,1963.0,1696.0,2369.0,547.16,412.872,0.399,51456.4700743,192.578539604,51456.4700743,1.4,0.715,0.705
Slide5-pccrM8-1__phase_analysis,signal:0121-0413,136.0,160.975539604,126.298,1944.0,1755.0,2335.0,834.832,412.379,0.365,21892.6813861,165.578539604,21892.6813861,3.286,0.304,0.567
Slide5-pccrM8-1__phase_analysis,signal:0122-0418,154.0,103.000539604,110.094,1910.0,1688.0,2369.0,313.381,416.844,0.443,15862.095099,106.578539604,15862.095099,3.779,0.265,0.718
Slide5-pccrM8-1__phase_analysis,signal:0123-0419,195.0,154.650539604,121.988,1913.0,1640.0,2328.0,896.352,419.466,0.43,30156.8152228,152.578539604,30156.8152228,2.082,0.48,0.713
Slide5-pccrM8-1__phase_analysis,signal:0124-0415,82.0,187.639539604,129.694,2071.0,1803.0,2324.0,955.255,416.141,0.617,15386.4402475,173.578539604,15386.4402475,2.818,0.355,0.804
Slide5-pccrM8-1__phase_analysis,signal:0125-0418,82.0,148.041539604,130.738,1812.0,1706.0,2301.0,446.434,417.555,0.682,12139.4402475,141.578539604,12139.4402475,2.54,0.394,0.832
Slide5-pccrM8-1__phase_analysis,signal:0127-0420,105.0,150.607539604,110.006,1905.0,1747.0,2250.0,572.13,419.424,0.483,15813.7466584,153.578539604,15813.7466584,3.873,0.258,0.784
Slide5-pccrM8-1__phase_analysis,signal:0129-0429,66.0,161.972539604,123.439,2004.0,1734.0,2284.0,612.939,429.509,0.678,10690.1836139,175.578539604,10690.1836139,2.487,0.402,0.88
Slide5-pccrM8-1__phase_analysis,signal:0130-0427,119.0,170.897539604,120.443,1952.0,1727.0,2337.0,721.354,426.764,0.468,20336.8462129,165.578539604,20336.8462129,3.733,0.268,0.726
Slide5-pccrM8-1__phase_analysis,signal:0132-0445,113.0,119.684539604,109.599,1961.0,1738.0,2246.0,741.702,446.023,0.492,13524.3749752,122.578539604,13524.3749752,3.365,0.297,0.766
Slide5-pccrM8-1__phase_analysis,signal:0133-0444,112.0,147.917539604,124.282,1885.0,1713.0,2284.0,479.606,445.446,0.455,16566.7964356,150.578539604,16566.7964356,3.845,0.26,0.72
Slide5-pccrM8-1__phase_analysis,signal:0134-0447,115.0,198.648539604,120.166,1854.0,1672.0,2341.0,640.876,446.376,0.486,22844.5320545,200.578539604,22844.5320545,3.518,0.284,0.735
Slide5-pccrM8-1__phase_analysis,signal:0135-0447,110.0,212.533539604,146.277,1929.0,1698.0,2382.0,967.777,446.222,0.512,23378.6393564,216.578539604,23378.6393564,3.546,0.282,0.791
Slide5-pccrM8-1__phase_analysis,signal:0136-0448,88.0,97.908539604,112.15,1897.0,1632.0,2257.0,425.787,449.159,0.662,8615.91148515,77.578539604,8615.91148515,2.528,0.396,0.85
Slide5-pccrM8-1__phase_analysis,signal:0137-0454,116.0,157.009539604,132.238,2102.0,1701.0,2344.0,932.843,453.978,0.533,18213.1105941,143.578539604,18213.1105941,2.992,0.334,0.751
Slide5-pccrM8-1__phase_analysis,signal:0140-0458,107.0,124.999539604,109.691,1943.0,1693.0,2231.0,332.439,457.346,0.654,13374.9037376,108.578539604,13374.9037376,2.775,0.36,0.82
Slide5-pccrM8-1__phase_analysis,signal:0141-0468,121.0,164.884539604,125.589,1948.0,1713.0,2364.0,780.687,468.882,0.486,19951.0032921,157.578539604,19951.0032921,3.143,0.318,0.738
Slide5-pccrM8-1__phase_analysis,signal:0142-0461,79.0,190.160539604,141.93,1929.0,1668.0,2295.0,466.345,461.813,0.627,15022.7046287,203.578539604,15022.7046287,2.899,0.345,0.863
Slide5-pccrM8-1__phase_analysis,signal:0143-0475,91.0,201.358539604,150.103,1938.0,1740.0,2502.0,572.421,474.765,0.59,18323.647104,210.578539604,18323.647104,2.826,0.354,0.824
Slide5-pccrM8-1__phase_analysis,signal:0145-0485,114.0,185.148539604,116.718,1982.0,1729.0,2358.0,490.145,484.221,0.462,21106.9535149,182.578539604,21106.9535149,3.983,0.251,0.74
Slide5-pccrM8-1__phase_analysis,signal:0146-0486,75.0,100.418539604,114.722,2031.0,1654.0,2254.0,306.828,486.817,0.716,7531.3904703,96.578539604,7531.3904703,2.436,0.411,0.833
Slide5-pccrM8-1__phase_analysis,signal:0147-0491,102.0,165.960539604,130.126,1955.0,1683.0,2358.0,835.334,489.908,0.572,16928.0110396,163.578539604,16928.0110396,3.215,0.311,0.773
Slide5-pccrM8-1__phase_analysis,signal:0148-0499,115.0,148.561539604,119.437,1938.0,1715.0,2308.0,357.242,498.192,0.579,17084.5320545,134.578539604,17084.5320545,3.119,0.321,0.81
Slide5-pccrM8-1__phase_analysis,signal:0149-0501,195.0,231.537539604,139.752,2015.0,1767.0,2527.0,875.901,497.563,0.294,45149.8152228,222.578539604,45149.8152228,3.089,0.324,0.486
Slide5-pccrM8-1__phase_analysis,signal:0150-0506,109.0,231.706539604,139.744,2043.0,1736.0,2468.0,654.559,506.752,0.542,25256.0608168,234.578539604,25256.0608168,3.174,0.315,0.768
Slide5-pccrM8-1__phase_analysis,signal:0152-0506,128.0,186.570539604,127.722,1937.0,1741.0,2360.0,581.823,504.474,0.432,23881.0530693,178.578539604,23881.0530693,3.828,0.261,0.667
Slide5-pccrM8-1__phase_analysis,signal:0153-0513,138.0,175.085539604,120.126,1912.0,1728.0,2350.0,442.627,514.346,0.456,24161.8384653,180.578539604,24161.8384653,3.596,0.278,0.742
Slide5-pccrM8-1__phase_analysis,signal:0155-0513,83.0,151.349539604,114.6,1870.0,1733.0,2417.0,475.004,513.015,0.597,12562.0187871,150.578539604,12562.0187871,2.924,0.342,0.818
Slide5-pccrM8-1__phase_analysis,signal:0158-0514,110.0,120.033539604,115.109,1986.0,1637.0,2236.0,382.813,513.67,0.549,13203.6393564,111.578539604,13203.6393564,3.577,0.28,0.791
Slide5-pccrM8-1__phase_analysis,signal:0161-0524,208.0,192.823539604,124.616,1946.0,1740.0,2451.0,784.855,522.472,0.327,40107.3362376,180.578539604,40107.3362376,3.868,0.259,0.572
Slide5-pccrM8-1__phase_analysis,signal:0162-0524,102.0,158.343539604,109.901,1953.0,1776.0,2237.0,851.014,525.011,0.583,16151.0110396,150.578539604,16151.0110396,2.619,0.382,0.747
Slide5-pccrM8-1__phase_analysis,signal:0164-0538,216.0,145.397539604,114.097,1878.0,1728.0,2364.0,400.421,537.989,0.274,31405.9645545,141.578539604,31405.9645545,3.791,0.264,0.526
Slide5-pccrM8-1__phase_analysis,signal:0165-0534,78.0,157.437539604,140.765,1844.0,1712.0,2343.0,738.327,534.494,0.657,12280.1260891,159.578539604,12280.1260891,2.704,0.37,0.857
Slide5-pccrM8-1__phase_analysis,signal:0166-0544,117.0,156.262539604,106.64,2028.0,1698.0,2283.0,518.901,544.324,0.451,18282.6891337,156.578539604,18282.6891337,3.639,0.275,0.688
Slide5-pccrM8-1__phase_analysis,signal:0167-0544,73.0,195.688539604,135.135,2058.0,1720.0,2450.0,411.584,544.544,0.671,14285.2333911,196.578539604,14285.2333911,2.742,0.365,0.885
Slide5-pccrM8-1__phase_analysis,signal:0169-0542,88.0,168.862539604,114.308,1873.0,1737.0,2252.0,460.152,542.339,0.616,14859.9114851,176.578539604,14859.9114851,3.16,0.317,0.867
Slide5-pccrM8-1__phase_analysis,signal:0170-0546,101.0,146.212539604,144.835,1833.0,1660.0,2348.0,638.876,547.653,0.572,14767.4325,132.578539604,14767.4325,3.015,0.332,0.798
Slide5-pccrM8-1__phase_analysis,signal:0171-0551,79.0,101.806539604,107.495,1921.0,1707.0,2237.0,305.618,550.78,0.708,8042.70462871,96.578539604,8042.70462871,2.425,0.412,0.854
Slide5-pccrM8-1__phase_analysis,signal:0172-0553,144.0,171.140539604,130.181,1814.0,1723.0,2340.0,690.397,550.754,0.367,24644.309703,169.578539604,24644.309703,3.631,0.275,0.589
Slide5-pccrM8-1__phase_analysis,signal:0174-0553,67.0,144.712539604,115.52,1799.0,1749.0,2223.0,373.41,553.944,0.679,9695.76215347,141.578539604,9695.76215347,2.474,0.404,0.865
Slide5-pccrM8-1__phase_analysis,signal:0176-0557,109.0,216.532539604,136.489,2061.0,1715.0,2406.0,970.484,556.06,0.555,23602.0608168,226.578539604,23602.0608168,3.396,0.295,0.832
Slide5-pccrM8-1__phase_analysis,signal:0177-0561,114.0,157.315539604,125.055,1978.0,1750.0,2326.0,439.81,562.213,0.454,17933.9535149,146.578539604,17933.9535149,3.36,0.298,0.712
