ImageId,TP,Label,ObjectId,ParentId,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0061-0366,60,60,71.0,6352.775,1250.982,6913.0,3586.0,8522.0,84.467,365.978,0.609,451047.0,6405.0,451047.0,3.066,0.326,0.811
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0062-0371,61,61,118.0,4276.424,707.002,3725.0,2982.0,5833.0,924.807,371.109,0.665,504618.0,4280.0,504618.0,2.652,0.377,0.877
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0063-0375,62,62,86.0,7352.791,1376.734,4420.0,4420.0,10331.0,93.718,374.98,0.529,632340.0,7544.0,632340.0,3.549,0.282,0.796
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0064-0377,63,63,95.0,7447.768,2034.498,10142.0,3507.0,10668.0,322.231,377.905,0.566,707538.0,7301.0,707538.0,3.269,0.306,0.766
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0065-0390,64,64,77.0,7547.948,2080.406,3331.0,3331.0,12196.0,236.817,389.895,0.657,581192.0,7473.0,581192.0,2.802,0.357,0.865
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0066-0392,65,65,117.0,6110.068,1277.522,3297.0,3297.0,8740.0,180.674,389.434,0.438,714878.0,6238.0,714878.0,3.039,0.329,0.648
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0067-0395,66,66,77.0,5779.312,1297.483,4610.0,3269.0,8316.0,355.295,396.086,0.556,445007.0,5811.0,445007.0,3.266,0.306,0.786
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0068-0400,67,68,88.0,6069.386,1647.261,2940.0,2940.0,8806.0,617.413,399.94,0.588,534106.0,6430.0,534106.0,3.245,0.308,0.772
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0069-0397,68,67,58.0,7469.052,2198.175,7340.0,2575.0,11433.0,568.615,397.02,0.695,433205.0,7634.0,433205.0,2.553,0.392,0.866
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0070-0402,69,69,69.0,6478.304,1802.84,3114.0,3114.0,9474.0,513.171,401.272,0.638,447003.0,6800.0,447003.0,2.75,0.364,0.793
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0071-0417,70,70,114.0,5953.632,1394.771,3119.0,3119.0,8822.0,834.89,416.936,0.586,678714.0,6021.0,678714.0,2.711,0.369,0.806
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0072-0416,71,71,115.0,5512.443,896.82,6230.0,3081.0,7861.0,804.194,415.603,0.452,633931.0,5503.0,633931.0,3.293,0.304,0.693
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0073-0418,72,72,91.0,7180.275,1672.314,3273.0,3273.0,10129.0,352.551,418.924,0.508,653405.0,7038.0,653405.0,3.193,0.313,0.74
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0074-0421,73,73,79.0,4500.709,985.985,2639.0,2639.0,6487.0,765.666,420.475,0.669,355556.0,4573.0,355556.0,2.857,0.35,0.819
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0075-0428,74,74,100.0,6187.19,1977.701,2860.0,2860.0,9750.0,718.723,428.497,0.526,618719.0,6035.0,618719.0,2.724,0.367,0.755
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0076-0426,75,75,94.0,5354.053,1279.093,6607.0,2648.0,7901.0,793.203,425.307,0.646,503281.0,5814.0,503281.0,2.884,0.347,0.8
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0077-0433,76,76,95.0,6256.832,1515.333,6839.0,3073.0,10075.0,386.696,432.153,0.427,594399.0,6589.0,594399.0,4.47,0.224,0.779
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0078-0428,77,77,71.0,6781.169,1894.62,6855.0,3025.0,10747.0,653.381,428.616,0.609,481463.0,6855.0,481463.0,2.711,0.369,0.821
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0079-0432,78,78,77.0,5761.351,1077.0,3733.0,3733.0,7714.0,40.055,431.966,0.69,443624.0,5879.0,443624.0,2.737,0.365,0.875
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0080-0448,79,79,79.0,7358.861,2314.15,3645.0,3131.0,11048.0,517.878,447.276,0.571,581350.0,7708.0,581350.0,3.171,0.315,0.802
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0081-0454,80,80,82.0,6270.415,1531.408,4259.0,3458.0,9084.0,478.259,455.56,0.534,514174.0,6637.0,514174.0,3.668,0.273,0.82
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0082-0456,81,81,91.0,5311.363,1099.723,4890.0,2653.0,7367.0,756.293,456.928,0.606,483334.0,5297.0,483334.0,2.899,0.345,0.805
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0083-0465,82,82,72.0,6609.792,1842.83,4058.0,3386.0,9773.0,287.605,465.358,0.571,475905.0,6613.0,475905.0,2.991,0.334,0.818
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0084-0467,83,83,66.0,4946.985,932.02,3196.0,3196.0,6834.0,190.973,466.647,0.678,326501.0,4935.0,326501.0,2.546,0.393,0.841
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0085-0472,84,84,81.0,5996.605,1494.289,6634.0,3024.0,8667.0,638.004,472.307,0.569,485725.0,6406.0,485725.0,3.083,0.324,0.794
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0086-0472,85,85,59.0,7127.644,2034.711,4522.0,3731.0,10417.0,491.733,472.184,0.64,420531.0,7616.0,420531.0,2.997,0.334,0.837
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0087-0474,86,87,73.0,7414.411,1899.235,3114.0,3114.0,10511.0,417.116,472.794,0.6,541252.0,7661.0,541252.0,2.922,0.342,0.76
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0088-0474,87,86,67.0,6465.448,1614.072,5817.0,3174.0,9397.0,625.855,473.303,0.661,433185.0,6542.0,433185.0,2.898,0.345,0.817
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0089-0483,88,88,67.0,6173.567,1473.478,3335.0,3335.0,8939.0,622.256,482.664,0.6,413629.0,6284.0,413629.0,3.082,0.324,0.807
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0090-0495,89,89,77.0,6607.818,1252.51,6675.0,3856.0,9336.0,272.227,495.453,0.554,508802.0,6679.0,508802.0,3.025,0.331,0.832
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0091-0508,90,90,61.0,8058.492,1619.075,10244.0,3966.0,10669.0,500.891,508.489,0.52,491568.0,8228.0,491568.0,3.179,0.315,0.772
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0092-0515,91,91,74.0,5495.797,1068.638,3486.0,3486.0,7729.0,57.846,515.518,0.716,406689.0,5451.0,406689.0,2.463,0.406,0.855
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0093-0517,92,92,99.0,5531.121,998.752,5110.0,3158.0,7428.0,118.814,515.727,0.541,547581.0,5509.0,547581.0,3.321,0.301,0.764
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0094-0521,93,93,65.0,6407.938,1432.364,8097.0,3604.0,9092.0,494.847,521.328,0.641,416516.0,6658.0,416516.0,3.177,0.315,0.839
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0095-0520,94,94,104.0,4777.0,1034.217,2549.0,2549.0,6878.0,911.874,521.277,0.711,496808.0,4731.0,496808.0,2.443,0.409,0.885
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0096-0525,95,95,88.0,6268.091,1414.984,3055.0,3055.0,8747.0,263.587,524.434,0.541,551592.0,6319.0,551592.0,3.047,0.328,0.786
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0097-0525,96,96,109.0,6630.275,1521.043,5944.0,2751.0,9298.0,433.206,523.649,0.457,722700.0,6908.0,722700.0,3.54,0.283,0.669
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0098-0529,97,97,86.0,7124.651,2373.367,2918.0,2918.0,10906.0,630.374,529.747,0.566,612720.0,7551.0,612720.0,3.266,0.306,0.8
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0099-0531,98,98,70.0,6637.229,1798.794,7990.0,3221.0,10207.0,514.297,531.149,0.539,464606.0,7049.0,464606.0,3.575,0.28,0.795
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0100-0532,99,99,148.0,6639.811,1228.38,6234.0,3978.0,9684.0,196.417,532.174,0.518,982692.0,6444.0,982692.0,2.82,0.355,0.779
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0101-0545,100,100,113.0,6407.31,1528.296,5785.0,2832.0,9572.0,611.617,545.547,0.38,724026.0,6511.0,724026.0,4.458,0.224,0.683
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0102-0554,101,101,132.0,5788.159,892.291,5705.0,3098.0,7415.0,155.454,551.907,0.366,764037.0,5864.0,764037.0,1.347,0.742,0.599
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0103-0560,102,102,81.0,7498.025,1760.491,6550.0,3688.0,10765.0,469.369,560.827,0.592,607340.0,7647.0,607340.0,2.828,0.354,0.757
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0104-0565,103,103,81.0,6305.16,1803.606,6462.0,3059.0,9145.0,511.511,565.801,0.485,510718.0,6462.0,510718.0,3.599,0.278,0.783
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0105-0565,104,104,92.0,4745.989,1091.862,3553.0,2703.0,7264.0,926.479,565.092,0.673,436631.0,4767.0,436631.0,2.545,0.393,0.844
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0106-0569,105,105,80.0,6799.338,1643.809,3845.0,3845.0,10199.0,292.215,569.499,0.635,543947.0,6891.0,543947.0,2.783,0.359,0.884
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0107-0567,106,106,88.0,5519.341,1469.83,2565.0,2565.0,8836.0,786.413,566.466,0.67,485702.0,5637.0,485702.0,2.561,0.39,0.838
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0108-0576,107,107,160.0,5626.631,875.569,4750.0,3720.0,7747.0,133.429,577.185,0.288,900261.0,5587.0,900261.0,4.244,0.236,0.586
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0109-0583,108,108,79.0,6550.203,1788.725,3014.0,3014.0,9565.0,765.087,583.458,0.686,517466.0,6640.0,517466.0,2.632,0.38,0.873
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0110-0585,109,109,68.0,7420.618,1822.988,8991.0,3196.0,10240.0,518.527,585.569,0.566,504602.0,7881.0,504602.0,3.204,0.312,0.814
