ImageId,TP,Label,ObjectId,ParentId,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
PxylX_region1_KL__t1_phase_analysis,1,signal:0043-0310,42,-1,56.0,28010.036,6926.423,12695.0,12695.0,38887.0,330.155,309.705,0.685,1568562.0,28950.0,1568562.0,2.711,0.369,0.836
PxylX_region1_KL__t1_phase_analysis,1,signal:0044-0314,43,-1,54.0,20204.241,7913.585,7021.0,7021.0,31590.0,607.588,314.502,0.681,1091029.0,21961.0,1091029.0,2.514,0.398,0.857
PxylX_region1_KL__t1_phase_analysis,1,signal:0045-0318,44,-1,71.0,21609.042,6372.604,8497.0,8497.0,32074.0,406.707,318.071,0.624,1534242.0,22463.0,1534242.0,2.785,0.359,0.816
PxylX_region1_KL__t1_phase_analysis,1,signal:0046-0329,45,-1,66.0,23465.848,5572.291,29106.0,10217.0,31337.0,261.544,329.424,0.57,1548746.0,24655.0,1548746.0,3.499,0.286,0.846
PxylX_region1_KL__t1_phase_analysis,1,signal:0047-0334,46,-1,56.0,20423.571,5164.789,11903.0,11903.0,29773.0,31.211,334.099,0.661,1143720.0,20504.0,1143720.0,2.785,0.359,0.83
PxylX_region1_KL__t1_phase_analysis,1,signal:0048-0336,47,-1,68.0,18695.074,7744.595,4961.0,4961.0,30984.0,773.965,336.579,0.703,1271265.0,19880.0,1271265.0,2.539,0.394,0.85
PxylX_region1_KL__t1_phase_analysis,1,signal:0049-0340,48,-1,51.0,21502.157,6368.892,9929.0,9929.0,30746.0,348.282,339.987,0.722,1096610.0,21865.0,1096610.0,2.231,0.448,0.857
PxylX_region1_KL__t1_phase_analysis,1,signal:0050-0352,49,-1,67.0,25134.06,6000.031,27233.0,11330.0,33773.0,304.545,351.725,0.548,1683982.0,25733.0,1683982.0,3.428,0.292,0.817
PxylX_region1_KL__t1_phase_analysis,1,signal:0051-0367,50,-1,92.0,20616.185,6214.856,7498.0,7498.0,29481.0,551.823,366.389,0.491,1896689.0,22011.0,1896689.0,3.163,0.316,0.681
PxylX_region1_KL__t1_phase_analysis,1,signal:0052-0362,51,-1,63.0,23590.952,5873.227,10453.0,10453.0,32010.0,233.222,361.796,0.572,1486230.0,24167.0,1486230.0,3.182,0.314,0.813
PxylX_region1_KL__t1_phase_analysis,1,signal:0053-0371,52,-1,103.0,14541.66,5233.215,4183.0,4183.0,22424.0,985.963,371.97,0.581,1497791.0,15543.0,1497791.0,3.143,0.318,0.855
PxylX_region1_KL__t1_phase_analysis,1,signal:0054-0382,53,-1,90.0,24517.822,5947.547,13006.0,13006.0,33424.0,183.433,381.441,0.534,2206604.0,25014.0,2206604.0,3.263,0.306,0.759
PxylX_region1_KL__t1_phase_analysis,1,signal:0055-0391,54,-1,100.0,16101.86,7420.094,20971.0,4450.0,27858.0,908.661,391.356,0.584,1610186.0,16253.0,1610186.0,3.012,0.332,0.837
PxylX_region1_KL__t1_phase_analysis,1,signal:0056-0394,55,-1,79.0,19179.354,6014.076,8061.0,8061.0,28568.0,366.665,395.099,0.501,1515169.0,20353.0,1515169.0,3.659,0.273,0.728
PxylX_region1_KL__t1_phase_analysis,1,signal:0057-0396,56,-1,94.0,12437.383,5433.719,4383.0,4383.0,21198.0,992.017,396.897,0.676,1169114.0,12060.0,1169114.0,2.615,0.382,0.858
PxylX_region1_KL__t1_phase_analysis,1,signal:0058-0421,57,-1,73.0,22329.233,8225.049,8311.0,8311.0,34331.0,470.052,420.531,0.589,1630034.0,22683.0,1630034.0,3.179,0.315,0.825
PxylX_region1_KL__t1_phase_analysis,1,signal:0059-0435,58,-1,68.0,24113.882,6979.429,9433.0,9433.0,34950.0,176.426,435.721,0.625,1639744.0,25123.0,1639744.0,3.225,0.31,0.907
PxylX_region1_KL__t1_phase_analysis,1,signal:0060-0468,59,-1,66.0,25114.636,8489.661,7569.0,7569.0,36359.0,501.408,468.17,0.588,1657566.0,27668.0,1657566.0,3.26,0.307,0.868
PxylX_region1_KL__t1_phase_analysis,1,signal:0061-0480,60,-1,72.0,26440.819,8975.359,9713.0,9713.0,39540.0,475.156,479.641,0.551,1903739.0,29532.0,1903739.0,3.575,0.28,0.791
PxylX_region1_KL__t1_phase_analysis,1,signal:0062-0501,61,-1,63.0,19128.254,4403.606,8956.0,8956.0,25704.0,18.614,500.856,0.59,1205080.0,19425.0,1205080.0,3.04,0.329,0.813
PxylX_region1_KL__t1_phase_analysis,1,signal:0063-0504,62,-1,60.0,16867.783,5784.013,4287.0,4287.0,25417.0,625.725,504.298,0.734,1012067.0,17848.0,1012067.0,2.353,0.425,0.845
PxylX_region1_KL__t1_phase_analysis,1,signal:0064-0506,63,-1,66.0,19547.652,7348.719,6526.0,6526.0,30603.0,450.442,506.763,0.682,1290145.0,20469.0,1290145.0,2.799,0.357,0.846
PxylX_region1_KL__t1_phase_analysis,1,signal:0065-0526,64,-1,108.0,16088.13,7254.179,4884.0,4884.0,28778.0,972.305,526.056,0.618,1737518.0,16294.0,1737518.0,2.856,0.35,0.847
PxylX_region1_KL__t1_phase_analysis,1,signal:0066-0536,65,-1,75.0,21864.147,7437.847,4813.0,4813.0,31704.0,635.101,537.088,0.616,1639811.0,22820.0,1639811.0,3.001,0.333,0.789
PxylX_region1_KL__t1_phase_analysis,1,signal:0067-0550,66,-1,62.0,22224.016,7077.457,9300.0,9300.0,32454.0,261.37,550.921,0.65,1377889.0,23448.0,1377889.0,2.543,0.393,0.844
PxylX_region1_KL__t1_phase_analysis,1,signal:0068-0553,67,-1,72.0,22883.042,7515.348,5514.0,5514.0,33499.0,616.461,553.556,0.61,1647579.0,23993.0,1647579.0,3.167,0.316,0.818
PxylX_region1_KL__t1_phase_analysis,1,signal:0069-0574,68,-1,71.0,20887.859,6034.883,8613.0,8613.0,30219.0,248.36,574.087,0.606,1483038.0,21311.0,1483038.0,3.158,0.317,0.85
PxylX_region1_KL__t1_phase_analysis,1,signal:0070-0577,69,-1,98.0,18829.01,8817.023,4176.0,4176.0,32442.0,971.408,577.524,0.621,1845243.0,18709.0,1845243.0,2.999,0.333,0.852
PxylX_region1_KL__t1_phase_analysis,1,signal:0071-0583,70,-1,68.0,14599.191,7723.913,9424.0,4551.0,28349.0,887.735,584.101,0.723,992745.0,13050.0,992745.0,2.228,0.449,0.855
PxylX_region1_KL__t1_phase_analysis,1,signal:0072-0597,71,-1,67.0,15994.776,7911.176,3797.0,3797.0,28593.0,840.031,597.289,0.688,1071650.0,14750.0,1071650.0,2.57,0.389,0.899
PxylX_region1_KL__t1_phase_analysis,1,signal:0073-0612,72,-1,81.0,22613.173,8938.902,4374.0,4374.0,36456.0,753.294,611.967,0.674,1831667.0,23402.0,1831667.0,2.67,0.375,0.839
PxylX_region1_KL__t1_phase_analysis,1,signal:0074-0621,73,-1,91.0,14263.802,6246.353,3453.0,3453.0,24380.0,990.117,621.644,0.574,1298006.0,13873.0,1298006.0,3.068,0.326,0.847
PxylX_region1_KL__t1_phase_analysis,1,signal:0075-0635,74,-1,63.0,25748.698,10866.771,7586.0,7586.0,42682.0,462.808,634.652,0.771,1622168.0,27094.0,1622168.0,2.19,0.457,0.887
PxylX_region1_KL__t1_phase_analysis,1,signal:0076-0641,75,-1,158.0,28768.19,9350.39,24267.0,7851.0,48580.0,232.078,644.486,0.286,4545374.0,29276.0,4545374.0,2.619,0.382,0.473
PxylX_region1_KL__t1_phase_analysis,1,signal:0077-0640,76,-1,88.0,17348.398,8103.42,3741.0,3741.0,29827.0,846.123,640.425,0.651,1526659.0,18653.0,1526659.0,2.759,0.362,0.83
PxylX_region1_KL__t1_phase_analysis,1,signal:0078-0642,77,-1,77.0,22727.948,9500.487,6513.0,6513.0,35780.0,530.121,641.567,0.603,1750052.0,24600.0,1750052.0,2.923,0.342,0.846
PxylX_region1_KL__t1_phase_analysis,1,signal:0079-0649,78,-1,84.0,24004.643,8392.378,7163.0,7163.0,36704.0,516.812,649.376,0.581,2016390.0,25547.0,2016390.0,3.117,0.321,0.82
PxylX_region1_KL__t1_phase_analysis,1,signal:0080-0650,79,-1,88.0,23721.795,10409.672,5786.0,5786.0,38834.0,614.604,650.125,0.599,2087518.0,25367.0,2087518.0,3.031,0.33,0.903
PxylX_region1_KL__t1_phase_analysis,1,signal:0081-0661,80,-1,73.0,19266.781,6686.672,6942.0,6942.0,30891.0,57.889,660.188,0.73,1406475.0,19671.0,1406475.0,2.403,0.416,0.844
PxylX_region1_KL__t1_phase_analysis,1,signal:0082-0663,81,-1,79.0,21096.658,9340.466,5986.0,5986.0,35601.0,459.465,663.557,0.63,1666636.0,22545.0,1666636.0,2.977,0.336,0.84
PxylX_region1_KL__t1_phase_analysis,1,signal:0083-0665,82,-1,144.0,24929.299,7039.331,7930.0,7930.0,35782.0,305.814,666.149,0.671,3589819.0,25909.0,3589819.0,1.856,0.539,0.845
PxylX_region1_KL__t1_phase_analysis,1,signal:0084-0680,83,-1,111.0,13513.171,6710.404,3560.0,3560.0,25779.0,984.261,682.207,0.613,1499962.0,12136.0,1499962.0,2.622,0.381,0.793
PxylX_region1_KL__t1_phase_analysis,1,signal:0085-0688,84,-1,75.0,19309.48,8699.354,4967.0,4967.0,32837.0,513.456,688.457,0.598,1448211.0,20009.0,1448211.0,3.072,0.326,0.815
PxylX_region1_KL__t1_phase_analysis,1,signal:0086-0686,85,-1,92.0,19154.293,8218.376,5236.0,5236.0,33148.0,544.814,686.442,0.612,1762195.0,21053.0,1762195.0,2.805,0.357,0.818
